pais,vulnerabilidad,peso_poblacional_edad_activa,riesgo_poblacional
GUATEMALA,62.9362176731794,64.32949174146265,40.48654895045689
EL SALVADOR,57.55898003095976,67.34172704596746,38.76121122289184
COLOMBIA,44.32947254901961,68.77821274045215,30.489018936485046
PERU,41.41459359605912,66.05017499618346,27.354411544155237
COSTA RICA,39.80135464684015,68.39337066747389,27.22148801428923
CHILE,35.76171296296297,66.96609503069897,23.948222687383574
ARGENTINA,37.04889761904762,64.31176382564826,23.826799536768124
URUGUAY,34.60213807339449,63.81940899551927,22.082880018253924
REPUBLICA DOMINICANA,30.858226507276502,65.32988132265295,20.159642755479172
